,,,,1,,2,,3,,4
"79_1,2,5,7-TeM-Adam ",177,H,15.61,7139,15.61,1387,15.6,4784,15.6,5889
80_1-M-N,142,H,17.93,1557503,17.93,63106,17.93,387203,17.93,467769
81_m-C6-Tol,106,H,18.99,25636,18.99,4763,18.98,16487,18.98,18744
82_Br-Alk-169-1,169,H,19.46,16833,19.45,2097,19.45,7522,19.45,8938
83_ o-C6-Tol,106,H,19.36,14820,19.36,1725,19.36,4977,19.36,5859
84_i-C15,113,H,19.61,46095,19.6,6187,19.6,17862,19.6,20521
"85_1,3+1,7-DM-N",156,H,20.47,797793,20.46,84588,20.47,242398,20.47,279046
"86_1,6-DM-N",156,H,20.55,473414,20.54,70587,20.54,208515,20.54,234904
87_BS3,123,H,20.61,38370,20.6,11885,20.6,31752,20.6,38489
88_C2-bt_s,162,A,20.14,203716,20.13,28256,20.13,84859,20.13,102967
89_ANY,152,H,21.12,,21.1,,21.1,,21.1,
90_m-C7-Tol,106,H,21.37,23988,21.36,4866,21.36,14940,21.37,17179
91_Br-Alk-169-2,169,H,21.49,8793,21.48,1331,21.48,4155,21.48,4793
"92_1,2 -DM-N",156,H,21.26,149335,21.26,15395,21.26,46252,21.26,51892
93_i-C16,113,H,21.58,60328,21.57,11301,21.57,30269,21.57,34472
94_ o-C7-Tol,106,H,21.75,19172,21.73,1887,21.73,5392,21.73,6021
95_ Diam,188,H,22.45,,22.51,,22.5,,22.51,
96_FAME 12:0,74,H,22.65,,22.65,,22.64,,22.65,
97_4-M-Diam,187,H,22.8,,22.79,,22.79,,22.79,
"98_1,3,7-TM-N",170,H,22.87,268526,22.86,36195,22.86,98222,22.86,111301
"99_1,3,6-TM-N",170,H,22.97,345382,22.96,45356,22.96,120919,22.96,138625
100_ n-C9-CyC6 ,83,H,23.49,125144,23.48,18500,23.48,50722,23.48,60630
101_ o-C9-Tol,106,H,27.96,3543,28.15,1455,28.15,3651,28.15,3740
102_8H-A,186,H,26.27,,26.26,,26.26,,26.26,
103_1-M-F,180,H,26.55,111867,26.54,14613,26.54,39902,26.54,43426
