Time [ms],Intensity
623416,109872
623789,86327
624163,69377
624537,57160
624911,48336
625285,42734
625659,39144
626033,38568
626407,40502
626781,44844
627155,53540
627529,66008
627903,82379
628277,99458
628651,115086
629024,123836
629398,121405
629772,108541
630146,92355
630520,75282
630894,61214
631268,49804
631642,42381
632016,38622
632390,37007
632764,36580
633138,35664
633512,33996
633886,31729
634258,29368
634633,27413
635007,25970
635381,24554
635755,23438
636129,23455
636503,24471
636877,26903
637251,30570
637625,34571
637999,38501
638373,40959
638747,40623
639121,38856
639494,35152
639867,30983
640242,27350
640616,24269
640990,21708
641363,19819
641738,18854
642112,18468
642486,18616
642860,19092
643234,19077
643608,18704
643982,17674
644356,17146
644728,18323
645103,23448
645477,34121
645851,50342
646224,69908
646599,87048
646973,97092
647347,100551
647721,105327
648095,123317
648469,159518
648843,210796
649217,259475
649591,293382
649964,307588
650338,308224
650712,311675
651086,314697
651460,310342
651834,288800
652208,248450
652582,200170
652956,158050
653329,129496
653704,115610
654078,115196
654452,123526
654826,132669
655199,138140
655573,137521
655947,133239
656321,131092
656694,133811
657069,134787
657443,131060
657817,120682
658190,102319
658565,83253
658939,68953
659313,66287
659686,85042
660061,134302
660434,222710
660808,346940
661182,481896
661555,593655
661930,633175
662304,605584
662678,522360
663051,407835
663426,295387
663800,202909
664174,142422
664548,108446
664922,95543
665295,103371
665670,130384
666043,171384
666416,211906
666791,236929
667165,236117
667539,210427
667913,170484
668287,129555
668661,98803
669035,78395
669409,65081
669783,56862
670156,52378
670531,54170
670904,69071
671278,106520
671652,175978
672026,277372
672400,389264
672774,479683
673148,521322
673521,501328
673896,422957
674270,322639
674644,241833
675017,190588
675392,167562
675766,160154
676140,157860
676513,151694
676887,140116
677261,120972
677635,99069
678009,80040
678382,65411
678757,54475
679131,46277
679505,39126
679878,33117
680253,28411
680627,25638
681001,26024
681375,33945
681747,56376
682122,103751
682496,179474
682870,281886
683243,388208
683618,468929
683992,489889
684366,449345
684740,361150
685114,267063
685488,181230
685862,123935
686236,88784
686610,67790
686983,55251
687357,48232
687731,45310
688105,44215
688479,44431
688853,44350
689227,43039
689601,40802
689975,36960
690348,33044
690723,29926
691097,28883
691471,31713
691844,40471
692218,56834
692592,79197
692966,103529
693340,120886
693714,126474
694088,121732
694462,114199
694836,112080
695209,120937
695584,134747
695958,148099
696332,150578
696706,140025
697080,117931
697453,94714
697827,75592
698201,61026
698574,51549
698949,44945
699323,39382
699697,34089
700071,29331
700445,25233
700819,22422
701193,20644
701567,20148
701941,20482
702314,22176
702688,24887
703062,29312
703436,34558
703810,39504
704184,43262
704558,46606
704932,53022
705306,67411
705680,94169
706054,132235
706428,172605
706802,201390
707175,205012
707550,184702
707923,150219
708297,112986
708671,82869
709045,62197
709419,52088
709793,48213
710167,48019
710540,48715
710915,48850
711289,47995
711663,46279
712037,45521
712411,47306
712785,51976
713158,57524
713532,61357
713906,62079
714280,58365
714654,50958
715028,43139
715402,37603
715776,36402
716150,40079
716524,47892
716898,57213
717272,65181
717646,68478
718020,66817
718393,63040
718767,59441
719141,56906
719515,55642
719889,53318
720263,48719
720637,42031
721011,34315
721385,27438
721759,22781
722133,21055
722507,21873
722881,25746
723255,32711
723628,43227
724002,58655
724376,78330
724750,99501
725124,113870
725498,119769
725872,115862
726246,106890
726620,95693
726994,87488
727367,86217
727742,91374
728116,99786
728490,107206
728863,110719
729237,106899
729611,98015
729985,87976
730359,80781
730733,84134
731107,110230
731481,174684
731855,298378
732229,479706
732603,708071
732977,971276
733351,1230729
733725,1468846
734098,1671522
734472,1793129
734846,1902405
735219,1941851
735594,1871198
735968,1526322
736342,843977
736716,354476
737090,177746
737464,124544
737838,106462
738212,100016
738586,97625
738960,95549
739333,94609
739707,93479
740080,93836
740455,96986
740829,104368
741203,115495
741577,126922
741951,134181
742325,133216
742699,124734
743073,111561
743447,97078
743821,86294
744194,82514
744568,86594
744942,98408
745316,117226
745689,139392
746064,161154
746438,174829
746812,176087
747185,165112
747560,147339
747934,127033
748308,107702
748682,92362
749056,79018
749430,68464
749803,60947
750177,56562
750550,55578
750925,55683
751299,57097
751673,61149
752046,68411
752421,76941
752795,84922
753169,90871
753542,93588
753917,92703
754290,87961
754665,78742
755038,66699
755411,57049
755786,54355
756160,65534
756534,96706
756907,151012
757282,223721
757656,294789
758030,346069
758404,353602
758778,328566
759151,279353
759526,228118
759900,184949
760274,151475
760647,131170
761021,116350
761395,108229
761769,107791
762143,115568
762516,126487
762891,142056
