,RetentionTime Sample 1,Compounds,A,B,NormalisedToBS10,% 2/3 After Normalisation
131,41.81,133_27dbS,2544.0,7106.0,6855.990197794505,96.48170838438651
132,42.28,134_27dbR,1459.0,4172.0,3931.9534978703546,94.24624875048788
133,43.14,135_C28 (22S),2254.0,5631.0,6074.450434681136,107.87516310923702
134,43.46,136_C29 (22S),,,,0.0001
135,44.12,137_BePy,11738.0,32582.0,31633.49565318863,97.08887009142664
136,44.28,138_BaPy ,6107.0,17653.0,16458.149425287356,93.23145881882601
137,45.33,139_28bbR+S,4344.0,11740.0,11706.926658498163,99.71828499572541
138,45.67,140_28aaR,2612.0,7175.0,7039.247797421087,98.10798323931829
139,46.04,141_29aaS,4380.0,11658.0,11803.945387712234,101.25189044186169
140,46.44,142_25nor30ab,9078.0,22521.0,24464.889550148782,108.63145308888942
141,46.76,143_29aaR,3594.0,9867.0,9685.70313320497,98.16259382998855
142,46.86,144_29Ts,13814.0,34721.0,37228.242371200184,107.22111221220639
143,48.22,145_30ba,7697.0,21271.0,20743.143298908923,97.51842084955537
144,49.83,146_32abS,14536.0,40687.0,39174.00688488243,96.2813844345428
