,Compounds,A,B,mean,absoluteDifference,relativeDifference%,14%flag
8,m-C6-Tol/BS10,27.79041951105665,35.69464591136418,31.742532711210416,7.904226400307525,24.901057745515097,1
9,m-C6-Tol/ o-C6-Tol,276.1159420289855,331.26381354229454,303.68987778564,55.14787151330904,18.159272187608195,1
10,C7_Benz/C10_Benz,109.21768707482993,146.90900098911968,128.0633440319748,37.69131391428975,29.43177393905863,1
11,BS3/BS5,67.36764539167895,62.61239943208709,64.99002241188302,4.755245959591861,7.316886166702403,0
12,"1,6-DM-N/1,3+1,7-DM-N",83.44800680947651,86.0217493543676,84.73487808192206,2.57374254489109,3.0374063232884856,0
13,"ANY/1,2 -DM-N",0.0001,0.0001,0.0001,0.0,0.0,0
14, Diam/4-M-Diam,0.0001,0.0001,0.0001,0.0,0.0,0
15,FAME 12:0/FAME 16:0,0.0001,0.0001,0.0001,0.0,0.0,0
16,"1,3,7-TM-N/1,3,6-TM-N",79.80201075932621,81.22958344015416,80.51579709974018,1.42757268082795,1.7730342768134337,0
17,BS8/BS10,36.011435906412274,36.72952434562342,36.370480126017846,0.7180884392111437,1.9743716242487952,0
18,8H-A/8H-Phe,0.0001,0.0001,0.0001,0.0,0.0,0
19,1-M-F/8H-Phe,0.0001,0.0001,0.0001,0.0,0.0,0
20,FAME 14:0/FAME 16:0,0.0001,0.0001,0.0001,0.0,0.0,0
21,FAME 16:1/FAME 16:0,0.0001,0.0001,0.0001,0.0,0.0,0
22,"1-E-Phe/1,7 DM-Phe",13.626157732248107,13.795160018599761,13.710658875423935,0.16900228635165426,1.2326343167547351,0
23,C3-dbt_s/C3-phe_s,20.522128170945216,23.034402745032736,21.778265457988976,2.5122745740875203,11.535696352557483,0
24,FAME 18:2/FAME 18:0,0.0001,0.0001,0.0001,0.0,0.0,0
25,FAME 18:1 + 18:3/FAME 18:0,0.0001,0.0001,0.0001,0.0,0.0,0
26,C21Tr/C23Tr,0.0001,0.0001,0.0001,0.0,0.0,0
27,C23Tr/Phy-Tol,606.3963963963964,567.7811550151976,587.0887757057969,38.61524138119887,6.577410943477109,0
28,FAME 20:0/FAME 18:0,0.0001,0.0001,0.0001,0.0,0.0,0
29,C20TA/C21 TA,48.439821693907874,46.35514018691589,47.39748094041188,2.084681506991984,4.398295997234212,0
30,C21 TA/RC26TA+SC27 TA,28.210143915048203,25.27041707996788,26.740280497508042,2.9397268350803216,10.993627517685455,0
31,C28 (22S)/30ab,3.072100313479624,3.0568870889814175,3.0644937012305205,0.01521322449820639,0.4964351694408004,0
32,BePy/BaPy ,192.20566562960536,184.56919503767065,188.387430333638,7.63647059193471,4.05359878756792,0
33,29aaS/29aaR,121.86978297161937,118.15141380358772,120.01059838760355,3.718369168031657,3.0983673258775655,0
